number,latency,type,duration
355,308258,3,0
356,308872,3,0
357,309486,3,0
358,310100,3,0
359,310715,4,0
360,311329,3,0
361,311943,3,0
362,312557,3,0
363,313172,3,0
364,313786,3,0
365,314400,3,0
366,315014,3,0
367,315629,3,0
368,316243,3,0
369,316857,3,0
370,317471,3,0
371,318086,3,0
372,318700,3,0
373,319314,4,0
374,319928,3,0
375,320542,3,0
376,321157,3,0
377,321771,3,0
378,322385,3,0
379,323000,3,0
380,323614,3,0
381,324228,3,0
382,324842,4,0
383,325456,3,0
384,326071,3,0
385,326685,3,0
386,327299,3,0
387,327913,3,0
388,328528,3,0
389,329142,3,0
390,329756,3,0
391,330370,3,0
392,330985,3,0
393,331599,3,0
394,332213,3,0
395,332827,3,0
396,333442,4,0
397,334056,3,0
398,334670,3,0
399,335284,3,0
400,335899,3,0
401,336513,3,0
402,337127,3,0
403,337741,3,0
404,338355,3,0
405,338970,3,0
406,339584,3,0
407,340198,3,0
408,340812,3,0
409,341427,3,0
410,342041,3,0
411,342655,3,0
412,343269,3,0
413,343884,4,0
414,344498,3,0
415,345112,3,0
416,345726,3,0
417,346341,3,0
418,346955,3,0
419,347569,3,0
420,348183,3,0
421,348797,3,0
422,349412,3,0
423,350026,3,0
424,350640,3,0
425,351254,3,0
426,351869,3,0
427,352483,3,0
428,353097,3,0
429,353711,4,0
430,354326,3,0
431,354940,3,0
432,355554,3,0
433,356168,3,0
434,356783,3,0
435,357397,3,0
436,358011,3,0
437,358625,3,0
438,359240,3,0
439,359854,3,0
440,360468,4,0
441,361082,3,0
442,361696,3,0
443,372838,3,0
444,373452,3,0
445,374067,3,0
446,374681,3,0
447,375295,3,0
448,375909,3,0
449,376523,3,0
450,377138,3,0
451,377752,3,0
452,378366,3,0
453,378980,3,0
454,379595,3,0
455,380209,3,0
456,380823,3,0
457,381437,4,0
458,382052,3,0
459,382666,3,0
460,383280,3,0
461,383894,3,0
462,384509,3,0
463,385123,3,0
464,385737,3,0
465,386351,3,0
466,386966,3,0
467,387580,3,0
468,388194,3,0
469,388808,3,0
470,389422,3,0
471,390037,3,0
472,390651,3,0
473,391265,4,0
474,391879,3,0
475,392494,3,0
476,393108,3,0
477,393722,3,0
478,394336,3,0
479,394950,3,0
480,395565,3,0
481,396179,3,0
482,396793,3,0
483,397408,3,0
484,398022,3,0
485,398636,3,0
486,399250,3,0
487,399865,3,0
488,400479,4,0
489,401093,3,0
490,401707,3,0
491,402321,3,0
492,402936,3,0
493,403550,3,0
494,404164,3,0
495,404778,3,0
496,405393,3,0
497,406007,3,0
498,406621,4,0
499,407235,3,0
500,407850,3,0
501,408464,3,0
502,409078,3,0
503,409692,3,0
504,410306,3,0
505,410921,3,0
506,411535,3,0
507,412149,3,0
508,412763,3,0
509,413378,4,0
510,413992,3,0
511,414606,3,0
512,415220,3,0
513,415835,3,0
514,416449,3,0
515,417063,3,0
516,417677,3,0
517,418292,3,0
518,418906,3,0
519,419520,3,0
520,420135,3,0
521,420749,3,0
522,421363,3,0
523,421977,3,0
524,422591,3,0
525,423206,3,0
526,423820,4,0
527,424434,3,0
528,425048,3,0
529,425662,3,0
530,426277,3,0
531,426891,3,0
532,427505,3,0
533,428120,3,0
534,428734,3,0
535,429348,3,0
536,429962,3,0
537,430576,3,0
538,431191,3,0
539,431805,3,0
540,432419,3,0
541,433033,4,0
542,433648,3,0
543,444449,3,0
544,445062,3,0
545,445677,3,0
546,446291,3,0
547,446905,3,0
548,447519,3,0
549,448133,3,0
550,448748,3,0
551,449362,3,0
552,449976,3,0
553,450590,4,0
554,451205,3,0
555,451819,3,0
556,452433,3,0
557,453047,3,0
558,453662,3,0
559,454276,3,0
560,454890,3,0
561,455504,3,0
562,456119,4,0
563,456733,3,0
564,457347,3,0
565,457961,3,0
566,458575,3,0
567,459190,3,0
568,459804,3,0
569,460418,3,0
570,461032,3,0
571,461647,3,0
572,462261,3,0
573,462875,3,0
574,463489,3,0
575,464104,3,0
576,464718,3,0
577,465332,3,0
578,465946,3,0
579,466561,3,0
580,467175,3,0
581,467789,4,0
582,468403,3,0
583,469017,3,0
584,469632,3,0
585,470246,3,0
586,470860,3,0
587,471474,3,0
588,472089,3,0
589,472703,3,0
590,473317,3,0
591,473931,3,0
592,474546,3,0
593,475160,3,0
594,475774,3,0
595,476388,3,0
596,477003,3,0
597,477617,3,0
598,478231,3,0
599,478845,4,0
600,479460,3,0
601,480074,3,0
602,480688,3,0
603,481302,3,0
604,481917,3,0
605,482531,3,0
606,483145,3,0
607,483759,3,0
608,484373,3,0
609,484988,3,0
610,485602,3,0
611,486216,4,0
612,486830,3,0
613,487445,3,0
614,488059,3,0
615,488673,3,0
616,489287,3,0
617,489901,3,0
618,490516,3,0
619,491130,3,0
620,491744,3,0
621,492358,4,0
622,492973,3,0
623,493587,3,0
624,494201,3,0
625,494816,3,0
626,495430,3,0
627,496044,3,0
628,496658,3,0
629,497272,3,0
630,497887,3,0
631,498501,3,0
